-29,46
-92,-86
-91,91
31,-88
-31,70
18,2
11,-12
-96,55
3,33
96,24
-66,40
59,3
-48,30
45,-78
-66,74
-3,99
61,-74
-82,22
-91,91
-54,-55
84,-58
10,100
90,-75
23,12
89,-64
-26,-47
-31,-49
61,38
-76,24
88,-52
47,-42
-69,21
92,9
-82,-6
-48,-7
99,52
-48,8
-49,-61
-77,-62
81,-47
46,-82
-34,44
67,41
25,-49
-97,-40
-44,62
-42,27
64,-13
-97,80
28,-20
95,-67
-57,41
-33,3
-34,7
85,-61
-50,-89
-12,-21
-17,35
100,-98
-27,70
-32,5
-50,89
-63,31
19,38
-18,-14
87,-3
24,63
9,-64
96,-72
-22,96
48,17
69,100
-21,-56
99,93
36,-27
-30,-53
47,87
-31,-83
26,-3
-11,-4
65,-73
-8,-99
-43,9
95,-23
59,-98
-79,61
85,4
56,-47
89,28
31,-46
-93,-2
-80,-19
-52,23
27,-93
24,-38
-91,6
33,-96
63,45
-27,-32
42,-44
-15,77
60,-72
26,-93
-76,22
-56,7
30,89
10,2
62,-10
-8,60
-35,81
99,-96
-84,92
-19,37
-28,-85
48,54
58,-16
-48,-74
11,56
-95,-58
4,43
-89,-14
62,-60
-32,80
45,77
-87,-97
-58,0
11,79
-78,-67
85,-92
14,-32
-41,18
-74,-9
-14,-15
-91,-28
81,70
54,-65
38,93
16,9
37,-23
52,-39
25,-17
-25,-8
-47,-50
7,91
33,-72
-26,28
40,-43
-33,-81
-42,-20
83,70
-22,58
11,36
-11,15
-28,-94
-95,-92
-59,-52
-9,-12
-32,-47
-85,-43
26,13
-39,94
-45,87
29,-57
-59,34
52,98
-51,-20
-84,-45
-85,1
4,32
-7,5
52,65
6,92
19,-97
-87,11
51,85
-28,-37
85,-64
54,-31
21,22
79,-18
100,-48
10,-1
16,-56
-91,69
76,-15
-95,84
95,-79
15,35
-3,-96
-7,29
8,93
77,20
-98,6
-81,1
-88,20
-82,-3
-18,81
91,-8
-76,25
-22,98
-61,-95
81,-83
72,83
42,31
62,-42
-55,41
35,14
-60,-46
-45,-17
22,-87
94,-31
66,61
-77,-86
8,21
-14,71
-54,31
43,-79
-76,-15
-39,-56
29,25
29,-7
24,46
74,-73
74,-53
100,-29
90,32
56,-20
-30,7
-38,45
-71,-9
-23,-70
4,91
20,80
-16,-32
97,-1
-39,9
26,-70
16,43
-1,-47
55,-31
41,3
36,53
-20,69
15,-45
51,90
45,-2
1,-72
-47,-9
44,63
-26,10
81,-79
-43,96
-35,80
-49,-30
81,-45
-30,-30
-5,-98
-68,10
52,-67
25,41
-42,55
5,82
-37,100
97,60
-92,5
-11,95
-25,93
-22,44
-34,51
-11,26
-80,5
44,55
-8,-83
-31,-67
-49,44
64,-15
-4,47
8,43
61,-45
-21,40
-19,2
-50,71
77,-92
24,-66
-98,77
12,82
-52,-80
37,-55
10,-9
-4,56
-82,-56
99,59
91,-8
79,-15
57,16
48,-36
-18,-57
65,-78
9,-67
31,30
-45,11
50,43
-75,-44
84,14
40,61
-19,-55
-73,28
35,87
-51,10
-70,-84
46,-24
24,80
-25,11
-34,32
93,80
6,-21
55,7
-73,-50
44,48
58,-17
-46,86
-85,-31
-20,-75
-49,-59
25,-51
-39,-28
-52,-59
98,20
-64,79
68,-47
81,-98
-34,-17
-87,40
-75,73
-41,-60
71,28
-32,-14
-89,33
12,77
32,13
-81,51
-37,-72
20,95
-32,0
-6,82
-52,-28
-13,62
62,57
-79,47
74,21
88,16
-61,-91
83,-22
-95,71
-81,36
-2,79
47,-23
-87,-6
76,92
-65,-12
83,45
-66,11
-43,33
-80,-31
48,-45
63,-30
15,-58
-51,66
10,-34
-48,-12
61,-71
-23,98
34,89
43,-23
-2,-65
10,-96
-75,87
-23,-75
-67,30
34,38
12,-11
3,96
50,19
30,-37
-27,-20
-34,-8
62,92
-32,-16
-9,2
8,-12
97,-34
-97,84
-17,-79
-50,-31
21,-90
-92,2
79,60
95,-57
-30,97
45,-88
12,15
-56,-77
11,70
-92,95
69,-3
-47,-27
13,-63
-1,48
-95,17
-19,-31
-43,40
16,-85
-40,-23
91,23
48,-1
68,72
79,20
-55,21
-78,86
-59,17
6,41
-90,42
50,-24
-78,68
-84,74
53,-85
-93,-36
100,-85
47,-29
-65,-16
19,-42
-96,29
6,-27
79,62
-19,5
-54,-92
50,31
30,76
-23,-12
-1,-1
54,-86
71,0
0,35
80,-8
45,34
58,-30
83,-82
4,46
42,10
-21,22
-69,66
12,-78
63,22
58,92
-8,21
-1,19
41,-15
-37,-79
-3,-19
78,-44
72,87
-19,-67
-64,93
86,-62
-22,26
-35,-20
13,54
-69,-79
87,95
58,-64
57,-70
-6,-50
76,32
-56,36
-79,73
-12,61
-70,-95
-56,-16
75,-51
-25,75
54,-91
-52,50
33,-40
31,58
-55,25
-51,25
-37,-85
-41,2
71,22
-49,42
60,-41
43,-12
-38,-39
-54,13
18,22
-97,39
-42,76
25,-25
25,-80
15,69
5,44
-28,-57
-1,17
79,69
-78,-53
-56,3
62,-72
-86,-39
-72,-50
4,67
-9,23
69,-33
-77,-2
52,-30
-44,47
-77,-94
19,-87
-9,10
51,-45
42,-71
-98,96
-29,-49
-56,-53
-54,60
68,-39
61,33
9,-55
83,-52
-5,76
36,85
-78,93
37,73
-53,-48
-42,-54
-63,90
39,44
98,-51
-33,86
49,-8
19,-19
71,9
79,32
-48,83
54,-84
-64,69
74,-98
-85,88
-61,58
70,-65
-88,-97
31,-43
-97,95
-91,-23
-75,72
16,80
20,4
-1,-98
8,-15
-99,-19
-31,64
-79,-38
54,38
-9,75
86,-99
75,-63
-18,-63
15,37
-62,-86
-47,12
92,45
87,-93
-57,-71
70,41
89,-54
94,88
82,64
38,34
47,14
-97,-69
-26,58
66,19
87,72
-7,-15
-49,-19
-10,-89
69,-60
62,7
50,36
43,-46
49,-60
5,-69
-78,-60
-81,21
86,12
-30,-14
66,73
-5,71
-35,-37
67,65
-8,32
-38,-7
80,95
-29,63
45,61
-41,-9
41,-8
1,15
56,68
-83,-12
-45,89
-64,-96
-61,2
-42,45
-90,4
6,-82
10,51
23,98
5,-19
-56,-71
-31,19
-96,67
1,60
-86,83
21,40
23,23
-75,-35
-87,-68
32,-44
68,12
-94,-46
75,95
64,38
-92,-36
11,-99
-93,37
-66,16
16,83
56,-31
40,23
-39,-96
-19,-92
62,96
-59,86
-69,97
-53,76
91,4
65,-43
-16,81
33,52
-13,97
-18,27
28,-29
5,73
-8,-17
-60,36
60,52
79,54
-21,74
-43,31
90,-96
69,30
-41,84
-32,-97
-61,52
62,84
13,-57
88,84
-62,19
-31,61
-90,94
-99,26
69,-36
21,90
-81,-45
64,38
-35,40
-15,-7
-10,56
72,14
33,71
35,-93
-80,-87
10,-64
-39,-15
84,94
5,-34
43,-57
-51,71
87,-86
40,-69
-42,-44
-42,-14
-41,46
90,-15
-70,9
-87,-23
-23,-6
-35,85
90,-18
97,-58
36,-52
-77,30
-50,14
-36,23
-90,46
-41,98
-65,8
3,-25
72,60
-15,0
21,-79
28,-36
22,-56
-76,100
42,70
-15,80
-38,-40
-31,-48
-66,-28
17,18
65,61
-20,48
19,-5
76,21
-85,100
19,67
56,53
2,70
-12,-50
29,6
-63,-79
-29,8
79,90
-33,-69
-29,-68
-51,74
8,-33
30,76
99,-76
59,61
-41,-43
66,-13
13,-43
-6,57
-93,-5
-65,-52
79,-2
68,87
-86,24
-68,-2
38,43
8,-75
75,61
-42,48
61,-85
-66,-89
-74,79
-52,-40
-36,58
37,67
-15,-8
50,-28
4,-58
-33,59
11,44
65,91
70,-61
-23,93
-13,-66
68,26
19,97
94,44
16,11
-22,-78
75,-77
3,29
15,76
40,-73
73,-64
26,53
27,54
-74,-56
35,92
81,-56
-98,35
-17,44
-12,-26
34,10
-61,88
59,41
-52,97
35,24
-98,-89
-9,29
-52,5
46,-51
96,53
90,63
29,-19
16,-65
70,-93
-48,-68
8,24
-45,50
57,71
49,-43
46,99
46,-54
29,18
-56,94
55,84
-6,11
4,66
30,-50
-84,-66
-51,-94
-22,-81
-89,28
88,-94
65,51
-24,15
57,-26
-8,57
60,44
60,-20
-37,41
81,-51
15,87
14,43
98,79
-47,16
-79,-54
66,-2
83,-38
-38,17
-60,55
18,1
54,-36
13,-20
-35,-50
-93,38
-1,88
10,89
-11,8
70,-5
-91,88
-5,-94
-92,-3
-50,32
-83,7
64,-33
99,21
-50,68
-74,-66
-6,-52
-40,48
-5,-9
61,-78
59,-33
68,-40
28,24
-40,-46
26,-11
-74,-84
-1,-66
45,67
-7,-28
95,-75
53,81
-46,94
-47,-48
14,-94
-6,-32
76,30
-62,88
11,-90
-72,58
43,-51
62,-40
-34,15
-12,-88
26,78
-27,-73
56,-10
53,-1
2,19
-32,24
-66,76
26,-16
-2,70
57,67
-53,10
-13,-46
-66,-47
-17,59
85,21
-91,28
37,48
-3,-32
-51,98
-8,6
-43,52
-15,-91
1,94
-46,88
65,-39
87,-71
12,-69
36,23
32,-58
30,-1
50,-88
2,-91
46,49
-17,40
-57,-56
93,79
100,-61
11,-42
31,48
90,-18
69,30
100,73
77,27
19,41
58,28
9,4
-33,-81
-13,72
-91,57
85,-34
-18,39
-44,89
-41,-42
-81,100
16,9
-37,-35
-68,-66
-7,11
23,-64
96,73
-13,91
58,73
42,-78
-72,95
-31,80
-50,11
-55,17
29,-67
-43,-10
-93,38
83,35
75,27
-12,2
-36,-72
34,-85
-61,47
52,11
8,-50
-77,-48
74,-54
59,62
90,46
89,-76
-23,-70
-65,-84
9,-12
33,-35
-84,48
-34,24
39,-80
-3,-27
-67,-23
-59,36
91,52
100,27
16,56
35,-53
-55,-8
70,-39
6,-72
-75,-82
-48,39
-62,-10
-83,-27
-87,97
73,89
9,68
44,-54
-74,-51
-68,74
59,-87
-6,-23
-96,46
-12,-96
-81,-88
-26,72
79,45
-72,23
-59,56
